Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,area
Tanzania,71,105,87.2,108,96.9,58.7,58.4,85.5,101,119,134,128,135,151,141,125,128,139,147,166,194,219,283,307,331,380,"""002"""
Togo,43.1,41.9,50.7,45.9,49.1,50.1,25.4,30.9,. .,. .,. .,. .,. .,. .,. .,28.8,31.7,33.2,. .,. .,57,. .,56.8,59,. .,. .,"""002"""
Uganda,142,140,107,73.6,52.3,62.6,104,127,135,140,155,160,141,136,142,152,196,217,219,252,312,294,609,676,492,465,"""002"""
Zambia,86.7,168,139,86.2,97.8,51.1,62.9,55.3,37.8,43.4,. .,56.1,. .,. .,. .,. .,103,140,207,149,299,212,276,306,320,377,"""002"""
Zimbabwe,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,346,287,677,195,256,131,162,. .,. .,. .,98.3,198,318,356,"""002"""
Belize,3.1,4.4,4.8,4.7,5.3,6.1,7.9,8.1,8,9.4,. .,6,7.1,7.5,7.8,8.6,9.5,10.7,12.3,13.8,18.7,17.3,15.3,15.4,15.1,16.7,"""019"""
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""019"""
Cuba,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,297,62,78.6,76.6,83.4,89.1,92.5,94.3,98.9,. .,. .,"""019"""
Dominican Rep.,47.3,53.5,47.8,33.9,63.1,96,101,84.5,107,151,159,175,247,306,272,156,153,272,259,275,333,321,355,349,357,371,"""019"""
El Salvador,213,240,202,187,179,166,159,161,161,162,161,164,169,191,204,166,162,170,185,200,209,215,226,256,273,266,"""019"""
Guatemala,125,129,113,102,131,123,140,145,130,132,140,124,158,197,158,179,115,104,131,136,166,147,170,197,224,259,"""019"""
Haiti,2,2.2,2.7,2.6,1.7,1.6,1.6,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""019"""
Honduras,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,52.5,63,63.6,82.2,60.5,62.6,75.6,95.9,132,157,170,201,186,230,"""019"""
Jamaica,. .,23.5,27.5,22.7,33.6,31.7,24.3,33.7,42.8,55.1,47.6,45.1,43.6,46.4,56.9,54.8,54.5,59.3,72.6,83.5,131,115,116,134,138,122,"""019"""
Mexico,982,1153,1327,1600,2000,2327,2889,1713,2064,2394,2481,2908,3323,3540,3479,3245,3129,3621,4083,4780,4940,4856,5897,6472,6979,7838,"""019"""
Nicaragua,. .,. .,1143,67.7,47.2,40.2,35.4,35.1,31.5,30.3,26.3,26.9,30.8,28.2,34.8,35.3,32.6,34.1,37.3,39.5,42.7,41.7,44.3,51.5,70.1,85.3,"""019"""
Panama,103,102,73.1,78.6,78.8,95.2,101,96.6,101,118,104,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""019"""
Trinidad & Tobago,. .,. .,. .,. .,. .,5.4,20.5,24.1,. .,. .,. .,. .,. .,3.1,13.9,19.4,33.7,75.9,97.6,115,154,251,. .,. .,. .,. .,"""019"""
Canada,9897,10747,11414,11339,10789,10269,9578,9177,8616,7945,7748,8211,8299,8375,8492,9959,11337,12986,14815,17419,19342,18938,19319,20474,20379,18460,"""019"""
USA,293093,304085,306170,280292,305141,297637,288059,278856,271417,276324,274278,280969,301697,312743,356720,415223,464676,503353,527660,556961,621131,668567,698180,711338,684780,640221,"""019"""
Argentina,254,1360,1933,2694,3067,3173,3755,3802,3379,3341,3399,3462,3267,3184,1138,1375,1466,1699,1848,2296,2789,2982,3476,4052,4563,4511,"""019"""
